timestamp,machineId,temperature,vibration,rpm,current,pressure,powerConsumption,health,uptimeSeconds,status,faultType
2026-07-03 22:18:17,M001,50.19,1.4,1501,7.8,4.61,1.79,83,1,NORMAL,NONE
2026-07-03 22:18:21,M002,52.07,2.02,1544,7.2,2.84,1.66,27,1,FAULT,PRESSURE_DROP
2026-07-03 22:18:26,M003,42.16,1.19,1478,8.67,5.59,1.99,97,1,NORMAL,NONE
2026-07-03 22:18:30,M004,43.73,1.77,1517,7.82,4.65,1.8,90,1,NORMAL,NONE
2026-07-03 22:18:34,M005,44.05,1.75,1499,7.88,5.0,1.81,93,1,NORMAL,NONE
2026-07-03 22:18:38,M006,103.43,3.97,1531,10.52,4.21,2.42,42,1,FAULT,OVERHEATING
2026-07-03 22:18:42,M007,67.37,7.12,1476,11.98,4.59,2.75,37,1,FAULT,BEARING_FAILURE
2026-07-03 22:18:46,M008,49.04,1.23,1508,8.22,5.35,1.89,98,1,NORMAL,NONE
2026-07-03 22:18:50,M009,46.51,1.31,1501,8.02,5.07,1.84,94,1,NORMAL,NONE
2026-07-03 22:18:54,M010,46.68,1.51,1527,8.1,4.92,1.86,81,1,NORMAL,NONE
2026-07-03 22:18:59,M001,49.05,1.53,1507,7.81,4.45,1.8,95,2,NORMAL,NONE
2026-07-03 22:19:03,M002,52.44,1.99,1546,7.42,4,1.71,82,2,NORMAL,NONE
2026-07-03 22:19:07,M003,43.23,1.26,1482,8.45,5.51,1.94,84,2,NORMAL,NONE
2026-07-03 22:30:30,M001,60.05,9.48,1560,9.35,5.22,2.15,42,1,FAULT,HIGH_VIBRATION
2026-07-03 22:30:34,M002,44.77,1.75,1476,8.06,4.94,1.85,99,1,NORMAL,NONE
2026-07-03 22:30:39,M003,43.39,1.33,1492,7.86,5.06,1.81,89,1,NORMAL,NONE
2026-07-03 22:30:43,M004,46.77,1.9,1494,8.06,5.12,1.85,83,1,NORMAL,NONE
2026-07-03 22:30:47,M005,46.39,1.41,1506,8.03,4.76,1.85,86,1,NORMAL,NONE
2026-07-03 22:30:51,M006,42.9,1.82,1487,7.66,4.79,1.76,97,1,NORMAL,NONE
2026-07-03 22:30:55,M007,43.43,1.54,1500,7.45,5.39,1.71,93,1,NORMAL,NONE
2026-07-03 22:30:59,M008,46.29,1.47,1470,8.14,4.99,1.87,83,1,NORMAL,NONE
2026-07-03 22:31:03,M009,45.02,1.67,1484,7.66,4.6,1.76,81,1,NORMAL,NONE
2026-07-03 22:31:28,M001,44.24,1.47,1469,8.29,5.02,1.91,99,1,NORMAL,NONE
2026-07-03 22:31:32,M002,49.65,1.5,1499,8.47,4.97,1.95,93,1,NORMAL,NONE
2026-07-03 22:31:36,M003,43.64,1.56,1465,8.34,5.27,1.92,91,1,NORMAL,NONE
2026-07-03 22:31:41,M004,43.61,1.0,1519,7.56,4.73,1.74,95,1,NORMAL,NONE
2026-07-03 22:31:45,M005,49.4,1.39,1474,7.68,4.61,1.77,82,1,NORMAL,NONE
2026-07-03 22:31:49,M006,52.11,1.98,1546,8.85,2.23,2.04,29,1,FAULT,PRESSURE_DROP
2026-07-03 22:31:53,M007,98.89,3.6,1627,10.14,4.01,2.33,40,1,FAULT,OVERHEATING
2026-07-03 22:31:57,M008,44.02,1.51,1505,7.97,5.44,1.83,90,1,NORMAL,NONE
2026-07-03 22:32:01,M009,46.56,1.47,1481,8.31,5.23,1.91,97,1,NORMAL,NONE
2026-07-03 22:32:06,M010,44.52,1.19,1507,7.52,5.12,1.73,86,1,NORMAL,NONE
2026-07-03 22:32:11,M001,45.11,1.54,1469,8.16,5.04,1.88,90,2,NORMAL,NONE
2026-07-03 22:32:15,M002,48.55,1.66,1491,8.37,5.17,1.93,91,2,NORMAL,NONE
2026-07-03 22:32:19,M003,44.58,1.48,1464,8.32,5.4,1.91,99,2,NORMAL,NONE
